Click_Y,Y_Top,Y_Bottom,Dist_Y_Top,Dist_Y_Bottom
476.4,411,551,0.467143,0.532857
340.8,243,383,0.698571,0.301429
212,125,265,0.621429,0.378571
288.8,202,342,0.62,0.38
389,315,455,0.528571,0.471429
140.4,54,194,0.617143,0.382857
218.6,126,266,0.651429,0.348571
327,241,381,0.62,0.38
470.2,379,519,0.63,0.37
190.2,101,241,0.637142857142857,0.36285714285714293
292.4,206,346,0.617142857142857,0.382857142857143
360.59999999999997,284,424,0.5471428571428569,0.4528571428571431
198.79999999999995,118,258,0.5771428571428568,0.4228571428571432
184.39999999999995,94,234,0.6457142857142854,0.35428571428571465
210.2,129,269,0.58,0.4200000000000001
442.2,372,512,0.5014285714285713,0.49857142857142867
365.4,297,437,0.48857142857142843,0.5114285714285716
493.4,421,561,0.517142857142857,0.48285714285714304
420.0,330,470,0.6428571428571429,0.35714285714285715
448.0,360,500,0.6285714285714286,0.37142857142857144
443.0,356,496,0.6214285714285714,0.37857142857142856
318.2,228,368,0.6442857142857142,0.3557142857142858
226.39999999999998,140,280,0.617142857142857,0.382857142857143
170.39999999999998,88,228,0.5885714285714284,0.4114285714285716
233.59999999999997,160,300,0.5257142857142855,0.47428571428571453
499.19999999999993,412,552,0.6228571428571423,0.3771428571428576
237.19999999999993,159,299,0.558571428571428,0.4414285714285719
370.19999999999993,284,424,0.6157142857142852,0.3842857142857148
237.19999999999993,149,289,0.6299999999999996,0.3700000000000005
447.7999999999999,360,500,0.6271428571428564,0.3728571428571436
189.7999999999999,95,235,0.6771428571428564,0.32285714285714356
410.9999999999999,324,464,0.6214285714285707,0.3785714285714294
327.1999999999999,242,382,0.6085714285714277,0.39142857142857235
451.39999999999986,368,508,0.5957142857142848,0.40428571428571525
175.39999999999986,409,549,-1.6685714285714295,2.6685714285714295
495.39999999999986,409,549,0.6171428571428562,0.38285714285714384
400.59999999999985,312,452,0.6328571428571418,0.3671428571428582
171.59999999999985,88,228,0.5971428571428561,0.4028571428571439
225.59999999999985,144,284,0.5828571428571419,0.4171428571428582
426.1999999999998,341,481,0.6085714285714273,0.39142857142857274
431.3999999999998,345,485,0.6171428571428558,0.38285714285714423
186.99999999999977,98,238,0.6357142857142841,0.36428571428571593
227.59999999999977,141,281,0.6185714285714269,0.3814285714285731
476.7999999999998,390,530,0.6199999999999984,0.38000000000000156
237.39999999999975,159,299,0.5599999999999982,0.4400000000000018
232.39999999999975,147,287,0.6099999999999982,0.3900000000000018
475.39999999999975,395,535,0.5742857142857125,0.4257142857142875
295.9999999999997,209,349,0.6214285714285694,0.3785714285714306
207.99999999999972,122,262,0.6142857142857122,0.38571428571428773
283.5999999999997,199,339,0.604285714285712,0.39571428571428796
344.5999999999997,257,397,0.6257142857142834,0.37428571428571655
366.5999999999997,280,420,0.6185714285714263,0.3814285714285737
473.79999999999967,387,527,0.6199999999999977,0.38000000000000234
432.79999999999967,349,489,0.5985714285714262,0.4014285714285738
418.39999999999964,329,469,0.638571428571426,0.36142857142857404
318.5999999999996,233,373,0.6114285714285688,0.38857142857143123
139.59999999999962,54,194,0.6114285714285688,0.38857142857143123
334.7999999999996,245,385,0.6414285714285687,0.3585714285714313
192.7999999999996,101,241,0.6557142857142829,0.344285714285717
233.3999999999996,159,299,0.5314285714285686,0.46857142857143136
408.39999999999964,323,463,0.6099999999999974,0.3900000000000026
518.9999999999997,433,573,0.6142857142857119,0.3857142857142882
484.5999999999996,402,542,0.5899999999999973,0.4100000000000027
243.7999999999996,162,302,0.5842857142857115,0.4157142857142885
171.9999999999996,89,229,0.59285714285714,0.40714285714285997
421.1999999999996,335,475,0.6157142857142828,0.38428571428571723
431.79999999999956,350,490,0.5842857142857111,0.41571428571428887
492.79999999999956,405,545,0.627142857142854,0.37285714285714605
171.99999999999955,80,220,0.6571428571428539,0.3428571428571461
318.19999999999953,229,369,0.6371428571428538,0.3628571428571462
498.19999999999953,412,552,0.6157142857142824,0.3842857142857176
150.19999999999953,60,200,0.6442857142857109,0.35571428571428904
278.19999999999953,192,332,0.6157142857142824,0.3842857142857176
499.3999999999995,416,556,0.5957142857142823,0.4042857142857177
509.9999999999995,423,563,0.6214285714285678,0.3785714285714322
225.59999999999945,138,278,0.6257142857142818,0.37428571428571816
120.59999999999945,44,184,0.5471428571428533,0.45285714285714673
