Click_Y,Y_Top,Y_Bottom,Dist_Y_Top,Dist_Y_Bottom,Accuracy,Gap
275.2,128.0,268.0,147.2,-7.2,-0.3666,0.7
503.0,449.0,589.0,54.0,86.0,-0.2222,0.7
273.6,175.0,315.0,98.6,41.4,0.9834,0.7
380.8,307.0,447.0,73.8,66.2,0.3278,0.7
337.0,241.0,381.0,96.0,44.0,0.9444,0.7
461.2,372.0,512.0,89.2,50.8,0.7556,0.7
503.4,483.0,623.0,20.4,119.6,-1.1556,0.7
381.6,295.0,435.0,86.6,53.4,0.6834,0.7
505.8,487.0,627.0,18.8,121.2,-1.2,0.7
443.2,356.0,496.0,87.2,52.8,0.7,0.7
273.8,171.0,311.0,102.8,37.2,0.8666,0.7
327.8,203.0,343.0,124.8,15.2,0.2556,0.7
382.8,293.0,433.0,89.8,50.2,0.7722,0.7
306.8,236.0,376.0,70.8,69.2,0.2444,0.7
262.0,81.0,221.0,181.0,-41.0,-1.3056,0.7
381.0,294.0,434.0,87.0,53.0,0.6944,0.7
381.0,322.0,462.0,59.0,81.0,-0.0834,0.7
264.4,91.0,231.0,173.4,-33.4,-1.0944,0.7
263.0,76.0,216.0,187.0,-47.0,-1.4722,0.7
237.2,53.0,193.0,184.2,-44.2,-1.3944,0.7
337.8,262.0,402.0,75.8,64.2,0.3834,0.7
337.8,261.0,401.0,76.8,63.2,0.4112,0.7
303.4,221.0,361.0,82.4,57.6,0.5666,0.7
303.4,222.0,362.0,81.4,58.6,0.5388,0.7
488.4,406.0,546.0,82.4,57.6,0.5666,0.7
488.4,396.0,536.0,92.4,47.6,0.8444,0.7
236.6,56.0,196.0,180.6,-40.6,-1.2944,0.7
275.2,149.0,289.0,126.2,13.8,0.2166,0.7
502.8,468.0,608.0,34.8,105.2,-0.7556,0.7
490.2,390.0,530.0,100.2,39.8,0.9388,0.7
506.4,465.0,605.0,41.4,98.6,-0.5722,0.7
261.6,70.0,210.0,191.6,-51.6,-1.6,0.7
266.2,112.0,252.0,154.2,-14.2,-0.5612,0.7
394.2,330.0,470.0,64.2,75.8,0.0612,0.7
460.4,376.0,516.0,84.4,55.6,0.6222,0.7
488.4,414.0,554.0,74.4,65.6,0.3444,0.7
504.6,478.0,618.0,26.6,113.4,-0.9834,0.7
